column,n_non_null,cast_rate_to_double
id,2260701,1.0
num_actv_bc_tl,2190392,1.0
mort_acc,2210638,1.0
mths_since_recent_bc,2187256,1.0
mths_since_recent_bc_dlq,519701,1.0
mths_since_recent_inq,1965233,1.0
mths_since_recent_revol_delinq,740359,1.0
num_accts_ever_120_pd,2190392,1.0
num_actv_rev_tl,2190392,1.0
total_bal_il,1394539,1.0
num_bc_sats,2202078,1.0
num_bc_tl,2190392,1.0
num_il_tl,2190392,1.0
num_op_rev_tl,2190392,1.0
num_rev_accts,2190391,1.0
num_rev_tl_bal_gt_0,2190392,1.0
mo_sin_rcnt_tl,2190392,1.0
mo_sin_rcnt_rev_tl_op,2190391,1.0
mo_sin_old_rev_tl_op,2190391,1.0
mo_sin_old_il_acct,2121597,1.0
delinq_amnt,2260639,1.0
chargeoff_within_12_mths,2260523,1.0
bc_util,2184597,1.0
bc_open_to_buy,2185733,1.0
avg_cur_bal,2190322,1.0
acc_open_past_24mths,2210638,1.0
inq_last_12m,1394538,1.0
total_cu_tl,1394538,1.0
total_rev_hi_lim,2190392,1.0
all_util,1394320,1.0
max_bal_bc,1394539,1.0
open_rv_24m,1394539,1.0
open_rv_12m,1394539,1.0
num_sats,2202078,1.0
num_tl_120dpd_2m,2107011,1.0
num_tl_30dpd,2190392,1.0
sec_app_revol_util,106184,1.0
settlement_percentage,34246,1.0
settlement_amount,34246,1.0
hardship_last_payment_amount,10917,1.0
hardship_payoff_balance_amount,10917,1.0
orig_projected_additional_accrued_interest,8651,1.0
hardship_dpd,10917,1.0
hardship_length,10917,1.0
hardship_amount,10917,1.0
deferral_term,10917,1.0
sec_app_mths_since_last_major_derog,35942,1.0
sec_app_collections_12_mths_ex_med,108021,1.0
sec_app_chargeoff_within_12_mths,108021,1.0
sec_app_num_rev_accts,108021,1.0
sec_app_open_act_il,108021,1.0
sec_app_open_acc,108021,1.0
num_tl_90g_dpd_24m,2190392,1.0
sec_app_mort_acc,108021,1.0
sec_app_inq_last_6mths,108021,1.0
sec_app_fico_range_high,108021,1.0
sec_app_fico_range_low,108021,1.0
revol_bal_joint,108020,1.0
total_il_high_credit_limit,2190392,1.0
total_bc_limit,2210638,1.0
total_bal_ex_mort,2210638,1.0
tot_hi_cred_lim,2190392,1.0
tax_liens,2260563,1.0
pub_rec_bankruptcies,2259303,1.0
percent_bc_gt_75,2185289,1.0
pct_tl_nvr_dlq,2190237,1.0
num_tl_op_past_12m,2190392,1.0
il_util,1191818,1.0
inq_fi,1394539,1.0
mths_since_rcnt_il,1350744,1.0
mths_since_last_delinq,1102166,1.0
total_pymnt_inv,2260668,1.0
total_pymnt,2260668,1.0
out_prncp_inv,2260668,1.0
out_prncp,2260668,1.0
total_acc,2260639,1.0
revol_util,2258866,1.0
revol_bal,2260668,1.0
pub_rec,2260639,1.0
open_acc,2260639,1.0
mths_since_last_record,359156,1.0
inq_last_6mths,2260638,1.0
total_rec_int,2260668,1.0
fico_range_high,2260668,1.0
open_il_24m,1394539,1.0
delinq_2yrs,2260639,1.0
dti,2258957,1.0
annual_inc,2260664,1.0
installment,2260668,1.0
int_rate,2260668,1.0
funded_amnt_inv,2260668,1.0
funded_amnt,2260668,1.0
loan_amnt,2260668,1.0
total_rec_prncp,2260668,1.0
fico_range_low,2260668,1.0
total_rec_late_fee,2260668,1.0
policy_code,2260668,1.0
open_il_12m,1394539,1.0
open_act_il,1394539,1.0
open_acc_6m,1394538,1.0
tot_cur_bal,2190392,1.0
tot_coll_amt,2190392,1.0
recoveries,2260668,1.0
acc_now_delinq,2260639,1.0
dti_joint,120706,1.0
annual_inc_joint,120710,1.0
settlement_term,34246,1.0
mths_since_last_major_derog,580775,1.0
collections_12_mths_ex_med,2260523,1.0
last_fico_range_low,2260668,1.0
collection_recovery_fee,2260668,1.0
last_pymnt_amnt,2260668,1.0
last_fico_range_high,2260668,1.0
title,2237343,0.0001
emp_title,2093699,0.0001
settlement_status,34246,0.0
settlement_date,34246,0.0
debt_settlement_flag_date,34246,0.0
debt_settlement_flag,2260668,0.0
hardship_status,10917,0.0
last_pymnt_d,2258241,0.0
term,2260668,0.0
initial_list_status,2260668,0.0
hardship_loan_status,10917,0.0
member_id,0,0.0
grade,2260668,0.0
payment_plan_start_date,10917,0.0
hardship_end_date,10917,0.0
hardship_start_date,10917,0.0
sub_grade,2260668,0.0
disbursement_method,2260668,0.0
hardship_type,10917,0.0
hardship_reason,10917,0.0
url,2260668,0.0
earliest_cr_line,2260639,0.0
verification_status_joint,115730,0.0
addr_state,2260668,0.0
zip_code,2260667,0.0
purpose,2260668,0.0
sec_app_earliest_cr_line,108021,0.0
desc,126067,0.0
pymnt_plan,2260668,0.0
application_type,2260668,0.0
loan_status,2260668,0.0
last_credit_pull_d,2260596,0.0
verification_status,2260668,0.0
next_pymnt_d,915358,0.0
home_ownership,2260668,0.0
emp_length,2113761,0.0
hardship_flag,2260668,0.0
issue_d,2260668,0.0
