column,n_non_null,null_pct,n_distinct
member_id,0,100.0,0
orig_projected_additional_accrued_interest,8651,99.62,7487
hardship_end_date,10917,99.52,28
hardship_start_date,10917,99.52,27
hardship_type,10917,99.52,1
hardship_reason,10917,99.52,9
hardship_status,10917,99.52,3
deferral_term,10917,99.52,1
hardship_last_payment_amount,10917,99.52,9045
hardship_payoff_balance_amount,10917,99.52,10893
hardship_loan_status,10917,99.52,5
hardship_dpd,10917,99.52,34
hardship_length,10917,99.52,1
payment_plan_start_date,10917,99.52,27
hardship_amount,10917,99.52,9162
settlement_term,34246,98.49,40
debt_settlement_flag_date,34246,98.49,83
settlement_status,34246,98.49,3
settlement_date,34246,98.49,90
settlement_amount,34246,98.49,21941
settlement_percentage,34246,98.49,2070
sec_app_mths_since_last_major_derog,35942,98.41,140
sec_app_revol_util,106184,95.3,1216
sec_app_mort_acc,108021,95.22,23
revol_bal_joint,108020,95.22,56875
sec_app_fico_range_low,108021,95.22,62
sec_app_fico_range_high,108021,95.22,62
sec_app_earliest_cr_line,108021,95.22,663
sec_app_inq_last_6mths,108021,95.22,7
sec_app_open_acc,108021,95.22,67
sec_app_open_act_il,108021,95.22,40
sec_app_num_rev_accts,108021,95.22,86
sec_app_chargeoff_within_12_mths,108021,95.22,22
sec_app_collections_12_mths_ex_med,108021,95.22,18
verification_status_joint,115730,94.88,3
dti_joint,120706,94.66,4018
annual_inc_joint,120710,94.66,17633
desc,126067,94.42,124501
mths_since_last_record,359156,84.11,129
mths_since_recent_bc_dlq,519701,77.01,177
mths_since_last_major_derog,580775,74.31,183
mths_since_recent_revol_delinq,740359,67.25,179
next_pymnt_d,915358,59.51,106
mths_since_last_delinq,1102166,51.25,173
il_util,1191818,47.28,280
mths_since_rcnt_il,1350744,40.25,405
all_util,1394320,38.32,188
open_rv_24m,1394539,38.31,50
open_rv_12m,1394539,38.31,29
total_bal_il,1394539,38.31,162249
open_il_24m,1394539,38.31,31
open_il_12m,1394539,38.31,19
open_act_il,1394539,38.31,54
open_acc_6m,1394538,38.31,19
total_cu_tl,1394538,38.31,62
inq_last_12m,1394538,38.31,48
max_bal_bc,1394539,38.31,33726
inq_fi,1394539,38.31,33
mths_since_recent_inq,1965233,13.07,26
emp_title,2093699,7.39,512694
num_tl_120dpd_2m,2107011,6.8,7
emp_length,2113761,6.5,11
mo_sin_old_il_acct,2121597,6.15,566
bc_util,2184597,3.37,1494
percent_bc_gt_75,2185289,3.34,284
bc_open_to_buy,2185733,3.32,91500
mths_since_recent_bc,2187256,3.25,546
pct_tl_nvr_dlq,2190237,3.12,690
num_actv_bc_tl,2190392,3.11,42
mo_sin_rcnt_rev_tl_op,2190391,3.11,333
mo_sin_rcnt_tl,2190392,3.11,232
num_accts_ever_120_pd,2190392,3.11,44
num_il_tl,2190392,3.11,122
num_actv_rev_tl,2190392,3.11,57
num_bc_tl,2190392,3.11,76
num_op_rev_tl,2190392,3.11,81
num_rev_accts,2190391,3.11,117
num_rev_tl_bal_gt_0,2190392,3.11,50
num_tl_90g_dpd_24m,2190392,3.11,34
num_tl_op_past_12m,2190392,3.11,33
tot_hi_cred_lim,2190392,3.11,529972
total_il_high_credit_limit,2190392,3.11,194137
mo_sin_old_rev_tl_op,2190391,3.11,787
num_tl_30dpd,2190392,3.11,5
tot_cur_bal,2190392,3.11,487688
total_rev_hi_lim,2190392,3.11,34220
avg_cur_bal,2190322,3.11,88597
tot_coll_amt,2190392,3.11,15574
num_sats,2202078,2.59,91
num_bc_sats,2202078,2.59,60
mort_acc,2210638,2.21,47
acc_open_past_24mths,2210638,2.21,57
total_bal_ex_mort,2210638,2.21,212777
total_bc_limit,2210638,2.21,20309
title,2237343,1.03,63155
last_pymnt_d,2258241,0.11,136
dti,2258957,0.08,10845
revol_util,2258866,0.08,1430
pub_rec_bankruptcies,2259303,0.06,12
collections_12_mths_ex_med,2260523,0.01,16
tax_liens,2260563,0.01,42
chargeoff_within_12_mths,2260523,0.01,11
zip_code,2260667,0.0,956
hardship_flag,2260668,0.0,2
pymnt_plan,2260668,0.0,2
url,2260668,0.0,2260668
purpose,2260668,0.0,14
addr_state,2260668,0.0,51
loan_amnt,2260668,0.0,1572
annual_inc,2260664,0.0,89368
funded_amnt,2260668,0.0,1572
funded_amnt_inv,2260668,0.0,10057
term,2260668,0.0,2
int_rate,2260668,0.0,673
debt_settlement_flag,2260668,0.0,2
disbursement_method,2260668,0.0,2
installment,2260668,0.0,93301
grade,2260668,0.0,7
sub_grade,2260668,0.0,35
issue_d,2260668,0.0,139
delinq_2yrs,2260639,0.0,37
verification_status,2260668,0.0,3
home_ownership,2260668,0.0,6
loan_status,2260668,0.0,9
application_type,2260668,0.0,2
earliest_cr_line,2260639,0.0,754
fico_range_low,2260668,0.0,48
acc_now_delinq,2260639,0.0,9
last_fico_range_low,2260668,0.0,71
last_fico_range_high,2260668,0.0,72
last_credit_pull_d,2260596,0.0,141
last_pymnt_amnt,2260668,0.0,704467
collection_recovery_fee,2260668,0.0,146222
recoveries,2260668,0.0,132777
total_rec_late_fee,2260668,0.0,18375
total_rec_int,2260668,0.0,635921
total_rec_prncp,2260668,0.0,486463
total_pymnt_inv,2260668,0.0,1311099
total_pymnt,2260668,0.0,1633878
out_prncp_inv,2260668,0.0,368481
delinq_amnt,2260639,0.0,2617
out_prncp,2260668,0.0,356141
initial_list_status,2260668,0.0,2
policy_code,2260668,0.0,1
total_acc,2260639,0.0,152
revol_bal,2260668,0.0,102251
pub_rec,2260639,0.0,43
open_acc,2260639,0.0,91
inq_last_6mths,2260638,0.0,28
fico_range_high,2260668,0.0,48
id,2260701,0.0,2260701
