column_name,column_type,null_pct,approx_unique
member_id,VARCHAR,100.0,0
next_pymnt_d,VARCHAR,100.0,1
orig_projected_additional_accrued_interest,VARCHAR,99.69,3433
sec_app_mths_since_last_major_derog,VARCHAR,99.65,93
hardship_length,VARCHAR,99.52,1
hardship_amount,VARCHAR,99.52,4136
hardship_status,VARCHAR,99.52,1
deferral_term,VARCHAR,99.52,1
hardship_end_date,VARCHAR,99.52,27
hardship_reason,VARCHAR,99.52,9
hardship_start_date,VARCHAR,99.52,27
hardship_type,VARCHAR,99.52,1
hardship_loan_status,VARCHAR,99.52,5
hardship_payoff_balance_amount,VARCHAR,99.52,5712
hardship_dpd,VARCHAR,99.52,33
payment_plan_start_date,VARCHAR,99.52,27
hardship_last_payment_amount,VARCHAR,99.52,3641
sec_app_revol_util,VARCHAR,99.05,1197
sec_app_collections_12_mths_ex_med,VARCHAR,99.03,12
sec_app_chargeoff_within_12_mths,VARCHAR,99.03,15
sec_app_fico_range_low,VARCHAR,99.03,65
sec_app_open_acc,VARCHAR,99.03,59
sec_app_num_rev_accts,VARCHAR,99.03,68
revol_bal_joint,VARCHAR,99.03,10922
sec_app_open_act_il,VARCHAR,99.03,33
sec_app_fico_range_high,VARCHAR,99.03,69
sec_app_earliest_cr_line,VARCHAR,99.03,622
sec_app_inq_last_6mths,VARCHAR,99.03,7
sec_app_mort_acc,VARCHAR,99.03,18
dti_joint,VARCHAR,98.44,3165
verification_status_joint,VARCHAR,98.43,3
annual_inc_joint,VARCHAR,98.43,3303
settlement_percentage,VARCHAR,97.3,2165
settlement_status,VARCHAR,97.3,2
settlement_date,VARCHAR,97.3,76
debt_settlement_flag_date,VARCHAR,97.3,65
settlement_amount,VARCHAR,97.3,22421
settlement_term,VARCHAR,97.3,42
desc,VARCHAR,94.65,63388
mths_since_last_record,VARCHAR,81.94,109
mths_since_recent_bc_dlq,VARCHAR,74.85,152
mths_since_last_major_derog,VARCHAR,72.01,165
il_util,VARCHAR,65.04,193
mths_since_recent_revol_delinq,VARCHAR,64.93,162
mths_since_rcnt_il,VARCHAR,60.78,286
all_util,VARCHAR,59.76,152
total_bal_il,VARCHAR,59.75,126678
open_rv_12m,VARCHAR,59.75,27
open_acc_6m,VARCHAR,59.75,21
max_bal_bc,VARCHAR,59.75,28200
inq_fi,VARCHAR,59.75,29
inq_last_12m,VARCHAR,59.75,41
open_rv_24m,VARCHAR,59.75,48
open_act_il,VARCHAR,59.75,44
open_il_12m,VARCHAR,59.75,21
total_cu_tl,VARCHAR,59.75,55
open_il_24m,VARCHAR,59.75,30
mths_since_last_delinq,VARCHAR,49.38,154
mths_since_recent_inq,VARCHAR,9.73,27
emp_title,VARCHAR,6.25,399853
emp_length,VARCHAR,5.9,12
num_tl_120dpd_2m,VARCHAR,4.04,6
mo_sin_old_il_acct,VARCHAR,2.93,474
title,VARCHAR,1.39,28927
bc_util,VARCHAR,1.09,1562
percent_bc_gt_75,VARCHAR,1.07,250
bc_open_to_buy,VARCHAR,1.04,66530
mths_since_recent_bc,VARCHAR,0.97,465
last_pymnt_d,VARCHAR,0.14,77
revol_util,VARCHAR,0.06,1432
dti,VARCHAR,0.02,6095
pct_tl_nvr_dlq,VARCHAR,0.01,558
funded_amnt,VARCHAR,0.0,1589
loan_amnt,VARCHAR,0.0,1589
id,VARCHAR,0.0,1430341
url,VARCHAR,0.0,1380029
loan_status,VARCHAR,0.0,3
pymnt_plan,VARCHAR,0.0,1
verification_status,VARCHAR,0.0,3
issue_d,VARCHAR,0.0,65
grade,VARCHAR,0.0,7
sub_grade,VARCHAR,0.0,35
annual_inc,VARCHAR,0.0,64341
home_ownership,VARCHAR,0.0,5
funded_amnt_inv,VARCHAR,0.0,1589
term,VARCHAR,0.0,2
int_rate,VARCHAR,0.0,285
installment,VARCHAR,0.0,74005
addr_state,VARCHAR,0.0,55
zip_code,VARCHAR,0.0,1040
purpose,VARCHAR,0.0,15
mo_sin_rcnt_tl,VARCHAR,0.0,168
chargeoff_within_12_mths,VARCHAR,0.0,12
mo_sin_rcnt_rev_tl_op,VARCHAR,0.0,242
mo_sin_old_rev_tl_op,VARCHAR,0.0,672
delinq_amnt,VARCHAR,0.0,2415
tot_cur_bal,VARCHAR,0.0,355172
tot_coll_amt,VARCHAR,0.0,9928
acc_now_delinq,VARCHAR,0.0,9
application_type,VARCHAR,0.0,2
total_acc,VARCHAR,0.0,138
earliest_cr_line,VARCHAR,0.0,835
inq_last_6mths,VARCHAR,0.0,7
delinq_2yrs,VARCHAR,0.0,33
out_prncp_inv,VARCHAR,0.0,33
out_prncp,VARCHAR,0.0,33
initial_list_status,VARCHAR,0.0,2
total_pymnt,VARCHAR,0.0,1095720
total_rec_int,VARCHAR,0.0,549954
total_rec_late_fee,VARCHAR,0.0,11727
total_rec_prncp,VARCHAR,0.0,246003
total_pymnt_inv,VARCHAR,0.0,831495
collection_recovery_fee,VARCHAR,0.0,113237
recoveries,VARCHAR,0.0,183715
last_credit_pull_d,VARCHAR,0.0,78
last_pymnt_amnt,VARCHAR,0.0,588725
last_fico_range_high,VARCHAR,0.0,81
last_fico_range_low,VARCHAR,0.0,78
collections_12_mths_ex_med,VARCHAR,0.0,16
policy_code,VARCHAR,0.0,1
fico_range_low,VARCHAR,0.0,41
pub_rec,VARCHAR,0.0,39
open_acc,VARCHAR,0.0,87
fico_range_high,VARCHAR,0.0,42
revol_bal,VARCHAR,0.0,75213
total_rev_hi_lim,VARCHAR,0.0,22867
acc_open_past_24mths,VARCHAR,0.0,59
avg_cur_bal,VARCHAR,0.0,70605
total_bc_limit,VARCHAR,0.0,13579
total_bal_ex_mort,VARCHAR,0.0,181476
total_il_high_credit_limit,VARCHAR,0.0,155398
num_tl_30dpd,VARCHAR,0.0,5
num_op_rev_tl,VARCHAR,0.0,79
num_rev_accts,VARCHAR,0.0,96
num_rev_tl_bal_gt_0,VARCHAR,0.0,48
num_sats,VARCHAR,0.0,87
num_accts_ever_120_pd,VARCHAR,0.0,38
num_actv_bc_tl,VARCHAR,0.0,33
mort_acc,VARCHAR,0.0,37
num_actv_rev_tl,VARCHAR,0.0,54
num_tl_op_past_12m,VARCHAR,0.0,32
pub_rec_bankruptcies,VARCHAR,0.0,13
tax_liens,VARCHAR,0.0,37
tot_hi_cred_lim,VARCHAR,0.0,368961
num_tl_90g_dpd_24m,VARCHAR,0.0,32
num_bc_sats,VARCHAR,0.0,55
num_il_tl,VARCHAR,0.0,109
num_bc_tl,VARCHAR,0.0,71
hardship_flag,VARCHAR,0.0,1
disbursement_method,VARCHAR,0.0,2
debt_settlement_flag,VARCHAR,0.0,2
is_bad,INTEGER,0.0,2
