column,pct_outliers_iqr,n_outliers_z,pct_outliers_z
bc_open_to_buy,0.08608730481930028,25896,0.021654364697431764
avg_cur_bal,0.05285568188754882,20469,0.017116280158778606
fico_range_low,0.030877705854856552,20206,0.01689635824360157
inq_last_6mths,0.05152193491147516,18582,0.015538361322508382
num_actv_rev_tl,0.028658417783070027,17600,0.014717208011847352
tot_cur_bal,0.034693309272928116,17472,0.01461017377176119
delinq_2yrs,0.2000294344160237,17217,0.014396941496589538
mort_acc,0.0136477018159864,16321,0.0136477018159864
revol_bal,0.05946755482787138,15086,0.012614988640155067
open_acc,0.03601116835398899,14163,0.011843171424533753
mo_sin_old_rev_tl_op,0.028987046348334572,13669,0.011430086154201219
acc_open_past_24mths,0.023226430098697275,13163,0.011006966423860608
pub_rec,0.18059853881538182,12531,0.01047848486343518
total_acc,0.017265124648898424,11215,0.009378039082549321
pub_rec_bankruptcies,0.13119554737561243,9855,0.008240800281633844
int_rate,0.01906045678534367,8963,0.007494905421033399
annual_inc,0.04877249286926186,8920,0.007458948606004454
dti,0.0033807768177215253,1825,0.0015260741262284898
revol_util,6.52239900525053e-05,83,6.940501505587104e-05
loan_amnt,0.0042939126784565995,0,0.0
