column,n_non_null,null_pct,n_distinct
member_id,0,100.0,0
orig_projected_additional_accrued_interest,8651,99.62,7487
hardship_end_date,10917,99.52,28
hardship_start_date,10917,99.52,27
hardship_type,10917,99.52,1
hardship_reason,10917,99.52,9
hardship_status,10917,99.52,3
deferral_term,10917,99.52,1
hardship_payoff_balance_amount,10917,99.52,10893
hardship_loan_status,10917,99.52,5
hardship_dpd,10917,99.52,34
hardship_length,10917,99.52,1
payment_plan_start_date,10917,99.52,27
hardship_amount,10917,99.52,9162
hardship_last_payment_amount,10917,99.52,9045
settlement_date,34246,98.49,90
settlement_percentage,34246,98.49,2070
settlement_amount,34246,98.49,21941
settlement_status,34246,98.49,3
debt_settlement_flag_date,34246,98.49,83
settlement_term,34246,98.49,40
sec_app_mths_since_last_major_derog,35942,98.41,140
sec_app_revol_util,106184,95.3,1216
sec_app_collections_12_mths_ex_med,108021,95.22,18
sec_app_chargeoff_within_12_mths,108021,95.22,22
sec_app_num_rev_accts,108021,95.22,86
sec_app_open_act_il,108021,95.22,40
sec_app_open_acc,108021,95.22,67
sec_app_inq_last_6mths,108021,95.22,7
sec_app_earliest_cr_line,108021,95.22,663
sec_app_fico_range_high,108021,95.22,62
sec_app_fico_range_low,108021,95.22,62
revol_bal_joint,108020,95.22,56875
sec_app_mort_acc,108021,95.22,23
verification_status_joint,115730,94.88,3
dti_joint,120706,94.66,4018
annual_inc_joint,120710,94.66,17633
desc,126067,94.42,124501
