column,iqr,lower_fence,upper_fence,n_outliers,pct_outliers
delinq_2yrs,0.0,0.0,0.0,239211,0.2000294344160237
pub_rec,0.0,0.0,0.0,215974,0.18059853881538182
pub_rec_bankruptcies,0.0,0.0,0.0,156894,0.13119554737561243
bc_open_to_buy,10655.0,-14540.5,28079.5,102950,0.08608730481930028
revol_bal,13880.0,-14749.0,40771.0,71116,0.05946755482787138
avg_cur_bal,15501.0,-20142.5,41861.5,63209,0.05285568188754882
inq_last_6mths,1.0,-1.5,2.5,61614,0.05152193491147516
annual_inc,45000.0,-21500.0,158500.0,58326,0.04877249286926186
open_acc,6.0,-1.0,23.0,43065,0.03601116835398899
tot_cur_bal,180394.5,-241011.75,480566.25,41489,0.034693309272928116
fico_range_low,40.0,610.0,770.0,36926,0.030877705854856552
mo_sin_old_rev_tl_op,113.0,-51.5,400.5,34665,0.028987046348334572
num_actv_rev_tl,4.0,-3.0,13.0,34272,0.028658417783070027
acc_open_past_24mths,4.0,-4.0,12.0,27776,0.023226430098697275
int_rate,6.24,0.39000000000000057,25.35,22794,0.01906045678534367
total_acc,16.0,-8.0,56.0,20647,0.017265124648898424
mort_acc,3.0,-4.5,7.5,16321,0.0136477018159864
loan_amnt,12000.0,-10000.0,38000.0,5135,0.0042939126784565995
dti,12.330000000000002,-6.455000000000005,42.86500000000001,4043,0.0033807768177215253
revol_util,36.5,-20.549999999999997,125.45,78,6.52239900525053e-05
