column,classification
out_prncp,post_origination
out_prncp_inv,post_origination
total_pymnt,post_origination
total_pymnt_inv,post_origination
total_rec_prncp,post_origination
total_rec_int,post_origination
total_rec_late_fee,post_origination
recoveries,post_origination
collection_recovery_fee,post_origination
last_pymnt_d,post_origination
last_pymnt_amnt,post_origination
next_pymnt_d,post_origination
last_credit_pull_d,post_origination
last_fico_range_high,post_origination
last_fico_range_low,post_origination
hardship_flag,post_origination
hardship_type,post_origination
hardship_reason,post_origination
hardship_status,post_origination
deferral_term,post_origination
hardship_amount,post_origination
hardship_start_date,post_origination
hardship_end_date,post_origination
payment_plan_start_date,post_origination
hardship_length,post_origination
hardship_dpd,post_origination
hardship_loan_status,post_origination
orig_projected_additional_accrued_interest,post_origination
hardship_payoff_balance_amount,post_origination
hardship_last_payment_amount,post_origination
debt_settlement_flag,post_origination
debt_settlement_flag_date,post_origination
settlement_status,post_origination
settlement_date,post_origination
settlement_amount,post_origination
settlement_percentage,post_origination
settlement_term,post_origination
id,origination_time
member_id,origination_time
loan_amnt,origination_time
funded_amnt,origination_time
funded_amnt_inv,origination_time
term,origination_time
int_rate,origination_time
installment,origination_time
grade,origination_time
sub_grade,origination_time
emp_title,origination_time
emp_length,origination_time
home_ownership,origination_time
annual_inc,origination_time
verification_status,origination_time
issue_d,origination_time
pymnt_plan,origination_time
url,origination_time
desc,origination_time
purpose,origination_time
title,origination_time
zip_code,origination_time
addr_state,origination_time
dti,origination_time
delinq_2yrs,origination_time
earliest_cr_line,origination_time
fico_range_low,origination_time
fico_range_high,origination_time
inq_last_6mths,origination_time
mths_since_last_delinq,origination_time
mths_since_last_record,origination_time
open_acc,origination_time
pub_rec,origination_time
revol_bal,origination_time
revol_util,origination_time
total_acc,origination_time
initial_list_status,origination_time
collections_12_mths_ex_med,origination_time
mths_since_last_major_derog,origination_time
policy_code,origination_time
application_type,origination_time
annual_inc_joint,origination_time
dti_joint,origination_time
verification_status_joint,origination_time
acc_now_delinq,origination_time
tot_coll_amt,origination_time
tot_cur_bal,origination_time
open_acc_6m,origination_time
open_act_il,origination_time
open_il_12m,origination_time
open_il_24m,origination_time
mths_since_rcnt_il,origination_time
total_bal_il,origination_time
il_util,origination_time
open_rv_12m,origination_time
open_rv_24m,origination_time
max_bal_bc,origination_time
all_util,origination_time
total_rev_hi_lim,origination_time
inq_fi,origination_time
total_cu_tl,origination_time
inq_last_12m,origination_time
acc_open_past_24mths,origination_time
avg_cur_bal,origination_time
bc_open_to_buy,origination_time
bc_util,origination_time
chargeoff_within_12_mths,origination_time
delinq_amnt,origination_time
mo_sin_old_il_acct,origination_time
mo_sin_old_rev_tl_op,origination_time
mo_sin_rcnt_rev_tl_op,origination_time
mo_sin_rcnt_tl,origination_time
mort_acc,origination_time
mths_since_recent_bc,origination_time
mths_since_recent_bc_dlq,origination_time
mths_since_recent_inq,origination_time
mths_since_recent_revol_delinq,origination_time
num_accts_ever_120_pd,origination_time
num_actv_bc_tl,origination_time
num_actv_rev_tl,origination_time
num_bc_sats,origination_time
num_bc_tl,origination_time
num_il_tl,origination_time
num_op_rev_tl,origination_time
num_rev_accts,origination_time
num_rev_tl_bal_gt_0,origination_time
num_sats,origination_time
num_tl_120dpd_2m,origination_time
num_tl_30dpd,origination_time
num_tl_90g_dpd_24m,origination_time
num_tl_op_past_12m,origination_time
pct_tl_nvr_dlq,origination_time
percent_bc_gt_75,origination_time
pub_rec_bankruptcies,origination_time
tax_liens,origination_time
tot_hi_cred_lim,origination_time
total_bal_ex_mort,origination_time
total_bc_limit,origination_time
total_il_high_credit_limit,origination_time
revol_bal_joint,origination_time
sec_app_fico_range_low,origination_time
sec_app_fico_range_high,origination_time
sec_app_earliest_cr_line,origination_time
sec_app_inq_last_6mths,origination_time
sec_app_mort_acc,origination_time
sec_app_open_acc,origination_time
sec_app_revol_util,origination_time
sec_app_open_act_il,origination_time
sec_app_num_rev_accts,origination_time
sec_app_chargeoff_within_12_mths,origination_time
sec_app_collections_12_mths_ex_med,origination_time
sec_app_mths_since_last_major_derog,origination_time
disbursement_method,origination_time
loan_status,target_outcome
