column,n_missing,pct_missing
mths_since_last_delinq,590519,0.4937949407925049
emp_length,70579,0.0590185127425099
bc_util,13083,0.010940070023806757
bc_open_to_buy,12383,0.010354726523335555
revol_util,686,0.0005736366304617775
dti,223,0.00018647371515011135
avg_cur_bal,17,1.4215485011443466e-05
inq_last_6mths,1,8.36205000673145e-07
pub_rec,0,0.0
fico_range_low,0,0.0
delinq_2yrs,0,0.0
annual_inc,0,0.0
int_rate,0,0.0
loan_amnt,0,0.0
pub_rec_bankruptcies,0,0.0
mort_acc,0,0.0
total_acc,0,0.0
revol_bal,0,0.0
open_acc,0,0.0
mo_sin_old_rev_tl_op,0,0.0
tot_cur_bal,0,0.0
acc_open_past_24mths,0,0.0
grade,0,0.0
term,0,0.0
num_actv_rev_tl,0,0.0
home_ownership,0,0.0
purpose,0,0.0
verification_status,0,0.0
addr_state,0,0.0
tot_hi_cred_lim,0,0.0
