,count,mean,std,min,25%,50%,75%,max,population
funded_amnt,1195879.0,14547.092138920409,8687.454241061063,1000.0,8000.0,12000.0,20000.0,40000.0,full
installment,1195879.0,442.2717688913341,261.31335060343804,4.93,252.64,378.07,586.24,1719.83,full
int_rate,1195879.0,13.253295927096305,4.77216805374008,5.32,9.75,12.74,15.99,30.99,full
out_prncp,1195879.0,0.25168983651356036,63.358095841098596,0.0,0.0,0.0,0.0,28222.01,full
out_prncp_inv,1195879.0,0.25168983651356036,63.358095841098596,0.0,0.0,0.0,0.0,28222.01,full
total_rec_prncp,1195879.0,12260.692920964404,8861.596644908437,0.0,5107.665,10000.0,17600.0,40000.0,full
total_pymnt,1195879.0,14970.189104729156,10336.987221844538,0.0,6978.55728469005,12277.2003413518,20776.6658715332,63296.877916990896,full
funded_amnt,245411.0,15620.612564228988,8762.031909127858,1000.0,9000.0,14400.0,20500.0,40000.0,defaulted
installment,245411.0,466.9741857129469,261.9282955060264,27.85,277.62,404.27,606.41,1717.63,defaulted
int_rate,245411.0,15.74001731788714,4.919065124523646,5.32,12.35,15.05,18.55,30.99,defaulted
out_prncp,245411.0,1.226475545105965,139.85762693037213,0.0,0.0,0.0,0.0,28222.01,defaulted
out_prncp_inv,245411.0,1.226475545105965,139.85762693037213,0.0,0.0,0.0,0.0,28222.01,defaulted
total_rec_prncp,245411.0,4479.071259316004,4114.158941921022,0.0,1622.77,3264.06,6001.275,39989.79,defaulted
total_pymnt,245411.0,8481.742398597793,6621.412153867998,0.0,3733.665,6750.28,11354.494999999999,61947.5297968037,defaulted
