column,n_non_null,mean,min,max,zero_share
total_pymnt,245411,8481.742398597737,0.0,61947.5297968037,0.0019
total_pymnt_inv,245411,8478.121459632985,0.0,61947.53,0.0019
total_rec_prncp,245411,4479.071259315992,0.0,39989.79,0.0072
total_rec_int,245411,2746.348829147835,0.0,26822.38,0.0068
total_rec_late_fee,245411,4.755783148707566,-5.1e-09,874.17,0.8646
recoveries,245411,1251.5665265612768,0.0,39859.55,0.3137
collection_recovery_fee,245411,211.73904647665466,0.0,7174.719,0.3312
last_pymnt_amnt,245411,474.96299041200234,0.0,39898.29,0.0067
out_prncp,245411,1.2264755451059652,0.0,28222.01,0.9999
out_prncp_inv,245411,1.2264755451059652,0.0,28222.01,0.9999
