column,lower_fence,upper_fence,n_outliers_iqr,pct_outliers_iqr,n_outliers_zscore,pct_outliers_zscore
delinq_2yrs,0.0,0.0,239211,20.00294344160237,17217,1.4396941496589537
pub_rec,0.0,0.0,215974,18.05985388153818,12531,1.047848486343518
revol_bal,-14749.0,40771.0,71116,5.946755482787138,15086,1.2614988640155065
avg_cur_bal,-20142.5,41861.5,63209,5.285568188754882,20469,1.7116280158778605
annual_inc,-21500.0,158500.0,58326,4.877249286926186,8920,0.7458948606004454
open_acc,-1.0,23.0,43065,3.601116835398899,14163,1.1843171424533754
tot_cur_bal,-241011.75,480566.25,41489,3.4693309272928112,17472,1.461017377176119
fico_range_low,610.0,770.0,36926,3.0877705854856554,20206,1.6896358243601568
fico_range_high,614.0,774.0,36926,3.0877705854856554,20206,1.6896358243601568
installment,-247.76000000000005,1086.64,36409,3.0445387869508536,11160,0.9332047807512298
int_rate,0.39000000000000057,25.35,22794,1.9060456785343667,8963,0.7494905421033399
total_acc,-8.0,56.0,20647,1.7265124648898424,11215,0.9378039082549321
mort_acc,-4.5,7.5,16321,1.36477018159864,16321,1.36477018159864
funded_amnt,-10000.0,38000.0,5135,0.42939126784565995,0,0.0
loan_amnt,-10000.0,38000.0,5135,0.42939126784565995,0,0.0
dti,-6.455000000000005,42.86500000000001,4043,0.3380776817721525,1825,0.15260741262284896
revol_util,-20.549999999999997,125.45,78,0.006522399005250531,83,0.006940501505587103
