,count,mean,std,min,25%,50%,75%,max,skew
loan_amnt,1195879.0,14547.096926194037,8687.4543317877,1000.0,8000.0,12000.0,20000.0,40000.0,0.7611643771453646
funded_amnt,1195879.0,14547.092138920409,8687.454241061063,1000.0,8000.0,12000.0,20000.0,40000.0,0.7611649048988296
int_rate,1195879.0,13.253295927096305,4.77216805374008,5.32,9.75,12.74,15.99,30.99,0.7236365562375546
installment,1195879.0,442.2717688913341,261.31335060343804,4.93,252.64,378.07,586.24,1719.83,1.0009337413527406
annual_inc,1195879.0,76600.63475412641,70083.49243465866,0.0,46000.0,65000.0,91000.0,10999200.0,47.23358272151022
dti,1195656.0,18.511360625464185,10.864281128641277,-1.0,12.04,17.87,24.37,999.0,27.125882887099937
fico_range_low,1195879.0,694.7497113002236,31.01970663606915,660.0,670.0,685.0,710.0,845.0,1.3491015760566856
fico_range_high,1195879.0,698.7498476016386,31.020369030025023,664.0,674.0,689.0,714.0,850.0,1.3493132866648172
open_acc,1195879.0,11.722430112076557,5.503777284727509,0.0,8.0,11.0,14.0,90.0,1.3006371434930835
revol_bal,1195879.0,16482.425569810992,22812.306380938982,0.0,6071.0,11260.0,19951.0,2904836.0,13.973162436098496
revol_util,1195193.0,52.22372796694764,24.149156868005274,0.0,34.2,52.5,70.7,892.3,-0.02332369943136528
total_acc,1195879.0,25.18009932442998,12.008679594124905,2.0,16.0,23.0,32.0,176.0,0.9592722260986583
delinq_2yrs,1195879.0,0.3325269529776842,0.9013728791906664,0.0,0.0,0.0,0.0,39.0,5.508858056455344
pub_rec,1195879.0,0.23163296621146454,0.627427418116191,0.0,0.0,0.0,0.0,86.0,11.3519522178481
mort_acc,1195879.0,1.6794282699169398,2.00082830318422,0.0,0.0,1.0,3.0,51.0,1.6336397963573543
tot_cur_bal,1195879.0,140782.58274541152,156750.89607610067,0.0,29580.0,80142.0,209974.5,5445012.0,2.7977110345969707
avg_cur_bal,1195862.0,13420.592285731966,16158.225554782866,0.0,3109.0,7386.0,18610.0,958084.0,3.8465775214497917
emp_length,0.0,,,,,,,,
