category,n,field,share
B,346973,grade,0.2901
C,346953,grade,0.2901
A,201289,grade,0.1683
D,178643,grade,0.1494
E,84581,grade,0.0707
F,29030,grade,0.0243
G,8410,grade,0.007
C1,76696,sub_grade,0.0641
B4,73619,sub_grade,0.0616
B5,72984,sub_grade,0.061
B3,71011,sub_grade,0.0594
C2,70960,sub_grade,0.0593
C3,68769,sub_grade,0.0575
C4,68410,sub_grade,0.0572
B2,65667,sub_grade,0.0549
B1,63692,sub_grade,0.0533
C5,62118,sub_grade,0.0519
A5,55872,sub_grade,0.0467
D1,46614,sub_grade,0.039
A4,43136,sub_grade,0.0361
D2,39668,sub_grade,0.0332
A1,38840,sub_grade,0.0325
D3,34795,sub_grade,0.0291
A3,31792,sub_grade,0.0266
A2,31649,sub_grade,0.0265
D4,31436,sub_grade,0.0263
D5,26130,sub_grade,0.0219
E1,21679,sub_grade,0.0181
E2,19483,sub_grade,0.0163
E3,16611,sub_grade,0.0139
E4,14094,sub_grade,0.0118
E5,12714,sub_grade,0.0106
F1,8902,sub_grade,0.0074
F2,6521,sub_grade,0.0055
F3,5569,sub_grade,0.0047
F4,4446,sub_grade,0.0037
F5,3592,sub_grade,0.003
G1,2657,sub_grade,0.0022
G2,1974,sub_grade,0.0017
G3,1524,sub_grade,0.0013
G4,1194,sub_grade,0.001
G5,1061,sub_grade,0.0009
 36 months,906930,term,0.7584
 60 months,288949,term,0.2416
debt_consolidation,702121,purpose,0.5871
credit_card,268386,purpose,0.2244
home_improvement,77107,purpose,0.0645
other,65419,purpose,0.0547
major_purchase,24073,purpose,0.0201
medical,13200,purpose,0.011
small_business,11630,purpose,0.0097
car,11360,purpose,0.0095
moving,7991,purpose,0.0067
vacation,7806,purpose,0.0065
house,5456,purpose,0.0046
renewable_energy,721,purpose,0.0006
wedding,608,purpose,0.0005
educational,1,purpose,0.0
MORTGAGE,594428,home_ownership,0.4971
RENT,471135,home_ownership,0.394
OWN,130050,home_ownership,0.1087
ANY,263,home_ownership,0.0002
NONE,3,home_ownership,0.0
Source Verified,476474,verification_status,0.3984
Verified,371503,verification_status,0.3107
Not Verified,347902,verification_status,0.2909
Individual,1177161,application_type,0.9843
Joint App,18718,application_type,0.0157
w,733379,initial_list_status,0.6133
f,462500,initial_list_status,0.3867
CA,171928,addr_state,0.1438
TX,98567,addr_state,0.0824
NY,96785,addr_state,0.0809
FL,84416,addr_state,0.0706
IL,46313,addr_state,0.0387
NJ,42722,addr_state,0.0357
PA,40494,addr_state,0.0339
OH,39433,addr_state,0.033
GA,38551,addr_state,0.0322
NC,33770,addr_state,0.0282
VA,33457,addr_state,0.028
MI,31788,addr_state,0.0266
AZ,29093,addr_state,0.0243
MD,27643,addr_state,0.0231
MA,26927,addr_state,0.0225
CO,26400,addr_state,0.0221
WA,25784,addr_state,0.0216
MN,21494,addr_state,0.018
IN,20743,addr_state,0.0173
TN,19473,addr_state,0.0163
MO,18870,addr_state,0.0158
NV,17886,addr_state,0.015
CT,17367,addr_state,0.0145
WI,15912,addr_state,0.0133
AL,14803,addr_state,0.0124
OR,14611,addr_state,0.0122
SC,14141,addr_state,0.0118
LA,13849,addr_state,0.0116
KY,11544,addr_state,0.0097
OK,11006,addr_state,0.0092
KS,10083,addr_state,0.0084
AR,9001,addr_state,0.0075
UT,8855,addr_state,0.0074
NM,6609,addr_state,0.0055
MS,6244,addr_state,0.0052
HI,6017,addr_state,0.005
NH,5771,addr_state,0.0048
RI,5183,addr_state,0.0043
WV,4215,addr_state,0.0035
MT,3406,addr_state,0.0028
DE,3386,addr_state,0.0028
NE,3311,addr_state,0.0028
DC,2968,addr_state,0.0025
AK,2836,addr_state,0.0024
WY,2613,addr_state,0.0022
SD,2471,addr_state,0.0021
VT,2351,addr_state,0.002
ME,1869,addr_state,0.0016
ND,1485,addr_state,0.0012
ID,1433,addr_state,0.0012
IA,2,addr_state,0.0
