column,type,iv,strength
grade,categorical,0.4725722612087359,strong
int_rate,numeric,0.46238642339074243,strong
term,categorical,0.18090175214097293,medium
fico_range_low,numeric,0.11413037037200852,medium
dti,numeric,0.07470663363904809,weak
acc_open_past_24mths,numeric,0.06650428693129624,weak
bc_open_to_buy,numeric,0.05563375064435573,weak
verification_status,categorical,0.05479050826049022,weak
avg_cur_bal,numeric,0.0508380543011418,weak
mort_acc,numeric,0.044184779718138764,weak
tot_cur_bal,numeric,0.03993640216734282,weak
home_ownership,categorical,0.03300957752482599,weak
loan_amnt,numeric,0.03210604278469549,weak
num_actv_rev_tl,numeric,0.030502557841485613,weak
annual_inc,numeric,0.029269114950708386,weak
inq_last_6mths,numeric,0.027831953117606625,weak
mo_sin_old_rev_tl_op,numeric,0.02414256430427275,weak
revol_util,numeric,0.02159445949320284,weak
purpose,categorical,0.01851870137360359,not useful
addr_state,categorical,0.017053723201954776,not useful
pub_rec,numeric,0.01419108965104848,not useful
emp_length,categorical,0.012070237433182958,not useful
pub_rec_bankruptcies,numeric,0.006522077166132394,not useful
delinq_2yrs,numeric,0.005493199142677533,not useful
open_acc,numeric,0.0053177795681897625,not useful
revol_bal,numeric,0.004194074453397919,not useful
total_acc,numeric,0.0015291968713930376,not useful
