feature,coefficient
grade_G,1.716016913666808
grade_F,1.685416824298479
grade_E,1.6445264210243127
grade_D,1.469993436772314
grade_C,1.2248937483350733
addr_state_ME,-0.9111364306721715
grade_B,0.8594473947665198
term_ 60 months,0.7353235986278521
purpose_wedding,-0.7349795098180734
home_ownership_MORTGAGE,-0.7213118023061127
sub_grade_A5,0.6806318314298988
addr_state_DC,-0.6465776987864009
home_ownership_OWN,-0.6424368244551514
sub_grade_G2,0.5542258003078084
home_ownership_RENT,-0.5208446978261165
sub_grade_E5,0.46344511690861073
sub_grade_A4,0.4425819257522773
purpose_small_business,0.40277296287060754
sub_grade_C5,0.3916733618402563
sub_grade_F4,0.38963062667066334
purpose_renewable_energy,0.37894094585441607
sub_grade_D5,0.3784970320819736
sub_grade_G1,0.371301272266806
sub_grade_B5,0.3684714638286178
sub_grade_F5,0.3675395612561402
installment,0.3643193611227562
sub_grade_A2,0.3642683455570774
addr_state_WA,-0.35046459110602224
sub_grade_F2,0.3453410268143805
sub_grade_G4,0.3445646470592855
sub_grade_E3,0.3360892220659453
addr_state_OK,0.33572235856150073
addr_state_DE,-0.33147012937915976
sub_grade_F3,0.3281848630454386
sub_grade_D4,0.32714519297128136
sub_grade_E4,0.32608508881268433
purpose_vacation,0.3240635966488907
addr_state_OR,-0.317282042306853
sub_grade_C4,0.3147181061470696
sub_grade_A3,0.3115678950752829
addr_state_AR,0.306820434328177
purpose_medical,0.30336472001565257
sub_grade_D2,0.30192869634026215
sub_grade_D3,0.29467959955002837
sub_grade_E2,0.2878195198129596
sub_grade_B4,0.28643331577812986
addr_state_NH,-0.2755648897618105
addr_state_NV,0.2605631451913387
addr_state_MS,0.2598250970151899
addr_state_VT,-0.25616146807958545
sub_grade_C3,0.2555398869197723
sub_grade_F1,0.25472074651185755
purpose_moving,0.24845104705419993
sub_grade_G5,0.23990213880155012
addr_state_LA,0.23766299912677705
sub_grade_E1,0.23108747342410194
addr_state_CO,-0.21344585506394745
sub_grade_G3,0.20602305523136277
addr_state_KS,-0.2054973338938323
addr_state_SD,0.18750799877699412
sub_grade_C2,0.17640632403900086
sub_grade_D1,0.16774291582876086
addr_state_MO,0.1630633110008122
addr_state_NE,0.1622416137259212
purpose_home_improvement,0.1574006923261229
addr_state_SC,-0.15210066302831127
verification_status_Verified,0.15096703504068315
addr_state_ID,-0.14993923935865539
addr_state_AL,0.14322016882469013
loan_amnt,-0.14261986242036018
funded_amnt,-0.1376134219442202
addr_state_NJ,0.13394876639321346
sub_grade_B3,0.13057443008470063
verification_status_Source Verified,0.1301357063872606
purpose_major_purchase,0.12447590873670564
open_acc,0.12035746997840957
purpose_house,-0.1190405176230521
addr_state_NC,0.11565093161089897
addr_state_WV,-0.11524745574713503
dti,0.11041609882729289
annual_inc,-0.10199122868292741
addr_state_UT,-0.09958159274652968
addr_state_NY,0.09784957632436192
addr_state_IN,0.09549151025614674
mort_acc,-0.09326508564108571
addr_state_OH,0.09260492206682717
addr_state_FL,0.09092219531359626
addr_state_MN,0.08899090947460198
application_type_Joint App,0.08856436700073193
initial_list_status_w,0.08760687785352422
addr_state_ND,-0.08754069522800667
sub_grade_C1,0.0865560693889752
addr_state_TN,0.0844657823229378
fico_range_low,-0.08098698282179523
fico_range_high,-0.07964033303193471
addr_state_NM,0.07963720809701424
addr_state_RI,-0.07699996371451327
addr_state_GA,-0.07687453081336737
addr_state_HI,-0.0762331110969043
total_acc,-0.07567844857383899
addr_state_AZ,0.07292421345178891
purpose_debt_consolidation,0.06936950712854609
addr_state_MD,0.06832137610694007
addr_state_MT,-0.06645051419096834
addr_state_MI,0.06362541845077152
addr_state_PA,0.06337858198171085
addr_state_CT,-0.06302482331374065
avg_cur_bal,-0.06253718907520912
addr_state_TX,0.05984345638040038
purpose_other,0.058946818512669336
sub_grade_B2,0.05275987568455252
purpose_credit_card,0.05036370378704915
addr_state_VA,0.04733871746974737
revol_bal,-0.041996758620270636
addr_state_WI,-0.034539321392946236
delinq_2yrs,0.03159144992669719
sub_grade_B1,0.021208309390491967
addr_state_IL,-0.019961123490540158
int_rate,-0.016233451005712878
pub_rec,0.015792022354610136
revol_util,-0.01509100618541858
addr_state_CA,-0.012584154847561268
addr_state_WY,-0.012032547026330337
addr_state_MA,0.008807232109959585
addr_state_KY,-0.00815182789248796
tot_cur_bal,-0.007900827406052694
purpose_educational,0.0
