,loan_amnt,funded_amnt,int_rate,installment,annual_inc,dti,fico_range_low,fico_range_high,open_acc,revol_bal,revol_util,total_acc,delinq_2yrs,pub_rec,mort_acc,tot_cur_bal,avg_cur_bal,emp_length
loan_amnt,1.0,0.9999999035825184,0.13182179603994582,0.9537149886370507,0.3161588788055512,0.024964586279118812,0.1119446613754899,0.1119434303719581,0.1846825468622019,0.32107929839833255,0.11549495899649634,0.2081169069299199,-0.005969165195372755,-0.07368543449140462,0.2283243548514394,0.3201979643867208,0.23352945325568303,
funded_amnt,0.9999999035825184,1.0,0.1318220010800646,0.9537153051768894,0.31615841337621137,0.024964445630002007,0.11194388157050032,0.11194265058604988,0.18468200289432987,0.32107923932407667,0.11549545277536738,0.20811640378089882,-0.005969132824874779,-0.07368547728045681,0.228324464983077,0.3201978256831637,0.233529577172431,
int_rate,0.13182179603994582,0.1318220010800646,1.0,0.1429821009006973,-0.08127440626773387,0.14770091038602154,-0.3816995087343365,-0.381696515547419,-0.011199824842666977,-0.03859662015993857,0.22220158580359256,-0.04790853124092133,0.040925717802964716,0.05358867082072832,-0.0843114273473492,-0.08829603171077563,-0.08645384943727584,
installment,0.9537149886370507,0.9537153051768894,0.1429821009006973,1.0,0.30599552360443927,0.027483120765074243,0.06567433345130809,0.06567341323585307,0.17325357656411963,0.30785120306158226,0.12958847324829909,0.18389871937938615,0.002746431669507206,-0.06151285341243086,0.19479877345216715,0.2890224731313256,0.20705988537899747,
annual_inc,0.3161588788055512,0.31615841337621137,-0.08127440626773387,0.30599552360443927,1.0,-0.14613393410458708,0.07712484806031543,0.07712477975743248,0.13256337080869338,0.2843370075449375,0.03770888251344928,0.17246320049104943,0.039469199870520236,-0.007204126680824215,0.21497013256709369,0.3976413683322699,0.3070413869984148,
dti,0.024964586279118812,0.024964445630002007,0.14770091038602154,0.027483120765074243,-0.14613393410458708,1.0,-0.04812101235807746,-0.04812374561252004,0.22343088843354234,0.10555014889792443,0.13791802459492028,0.17279220833886202,-0.011958569440336856,-0.040546254802665965,-0.03435707192617484,0.001129325693699602,-0.09289540140536451,
fico_range_low,0.1119446613754899,0.11194388157050032,-0.3816995087343365,0.06567433345130809,0.07712484806031543,-0.04812101235807746,1.0,0.999999929412743,0.03450653793286241,0.0391334560839916,-0.44487756528357086,0.025207626352847887,-0.17032319951950745,-0.19203203409153244,0.09838281034150452,0.13930758831702833,0.12814759244759216,
fico_range_high,0.1119434303719581,0.11194265058604988,-0.381696515547419,0.06567341323585307,0.07712477975743248,-0.04812374561252004,0.999999929412743,1.0,0.03450489129173797,0.03913115066640874,-0.44487680523306644,0.025206097340406405,-0.17032106386969056,-0.19202955568098928,0.0983832997022909,0.13930721700430607,0.12814876714870685,
open_acc,0.1846825468622019,0.18468200289432987,-0.011199824842666977,0.17325357656411963,0.13256337080869338,0.22343088843354234,0.03450653793286241,0.03450489129173797,1.0,0.2203766515585085,-0.14986510699331354,0.70149486302703,0.05042394121822885,-0.026900650426694192,0.11905788311763116,0.24493571890804683,-0.11131306791112272,
revol_bal,0.32107929839833255,0.32107923932407667,-0.03859662015993857,0.30785120306158226,0.2843370075449375,0.10555014889792443,0.0391334560839916,0.03913115066640874,0.2203766515585085,1.0,0.2309270291892909,0.18561338602163438,-0.029687904851017702,-0.09798749017869372,0.20425117232241377,0.44036881489324015,0.286076878959319,
revol_util,0.11549495899649634,0.11549545277536738,0.22220158580359256,0.12958847324829909,0.03770888251344928,0.13791802459492028,-0.44487756528357086,-0.44487680523306644,-0.14986510699331354,0.2309270291892909,1.0,-0.11210023605735488,-0.013975609816768798,-0.07520362405460992,0.025476133670419846,0.08470943139910787,0.13046121307154382,
total_acc,0.2081169069299199,0.20811640378089882,-0.04790853124092133,0.18389871937938615,0.17246320049104943,0.17279220833886202,0.025207626352847887,0.025206097340406405,0.70149486302703,0.18561338602163438,-0.11210023605735488,1.0,0.1189331059021267,0.0019280525165631527,0.36589757049660715,0.31012884333881796,0.053092157359078886,
delinq_2yrs,-0.005969165195372755,-0.005969132824874779,0.040925717802964716,0.002746431669507206,0.039469199870520236,-0.011958569440336856,-0.17032319951950745,-0.17032106386969056,0.05042394121822885,-0.029687904851017702,-0.013975609816768798,0.1189331059021267,1.0,-0.024296973703532086,0.07105909763249608,0.05673808843320665,0.044013248613061884,
pub_rec,-0.07368543449140462,-0.07368547728045681,0.05358867082072832,-0.06151285341243086,-0.007204126680824215,-0.040546254802665965,-0.19203203409153244,-0.19202955568098928,-0.026900650426694192,-0.09798749017869372,-0.07520362405460992,0.0019280525165631527,-0.024296973703532086,1.0,-0.005956289927155303,-0.07238377797509564,-0.0565282070168124,
mort_acc,0.2283243548514394,0.228324464983077,-0.0843114273473492,0.19479877345216715,0.21497013256709369,-0.03435707192617484,0.09838281034150452,0.0983832997022909,0.11905788311763116,0.20425117232241377,0.025476133670419846,0.36589757049660715,0.07105909763249608,-0.005956289927155303,1.0,0.5290644474385959,0.4570924725496709,
tot_cur_bal,0.3201979643867208,0.3201978256831637,-0.08829603171077563,0.2890224731313256,0.3976413683322699,0.001129325693699602,0.13930758831702833,0.13930721700430607,0.24493571890804683,0.44036881489324015,0.08470943139910787,0.31012884333881796,0.05673808843320665,-0.07238377797509564,0.5290644474385959,1.0,0.8354225753257651,
avg_cur_bal,0.23352945325568303,0.233529577172431,-0.08645384943727584,0.20705988537899747,0.3070413869984148,-0.09289540140536451,0.12814759244759216,0.12814876714870685,-0.11131306791112272,0.286076878959319,0.13046121307154382,0.053092157359078886,0.044013248613061884,-0.0565282070168124,0.4570924725496709,0.8354225753257651,1.0,
emp_length,,,,,,,,,,,,,,,,,,
