column,type,iv
sub_grade,categorical,0.5079246253001133
grade,categorical,0.47256452735305016
int_rate,numeric,0.4626601980010375
term,categorical,0.18090121380923455
fico_range_low,numeric,0.11592990949287267
fico_range_high,numeric,0.11592990949287267
dti,numeric,0.07471357852948823
verification_status,categorical,0.05479031086295015
avg_cur_bal,numeric,0.05083210711571186
tot_cur_bal,numeric,0.03993732674176456
mort_acc,numeric,0.03764661839808258
loan_amnt,numeric,0.03319747462436542
funded_amnt,numeric,0.03319747434240777
home_ownership,categorical,0.03267933035771062
annual_inc,numeric,0.02987856077143753
installment,numeric,0.028488753465255357
revol_util,numeric,0.02157131438314683
purpose,categorical,0.018068037644014524
addr_state,categorical,0.017050366160440634
open_acc,numeric,0.0051650784739023506
revol_bal,numeric,0.004194332805579983
application_type,categorical,0.0019015225867579305
delinq_2yrs,numeric,0.001675422398156962
total_acc,numeric,0.001611428511501846
pub_rec,numeric,0.0009814910880487325
initial_list_status,categorical,4.862498024984565e-06
emp_length,numeric,0.0
