grade,sub_grade,bad_rate,n
A,A1,0.03192584963954686,38840
A,A2,0.046889317198015736,31649
A,A3,0.0550138399597383,31792
A,A4,0.06862017804154302,43136
A,A5,0.0844967067583047,55872
B,B1,0.10486403315958048,63692
B,B2,0.11425830325734387,65667
B,B3,0.1315430003802228,71011
B,B4,0.15008353821703635,73619
B,B5,0.16970842924476598,72984
C,C1,0.1931261082716178,76696
C,C2,0.2120067643742954,70960
C,C3,0.22894036557169656,68769
C,C4,0.25301856453734833,68410
C,C5,0.2649151614668856,62118
D,D1,0.28469987557386195,46614
D,D2,0.3046032066149037,39668
D,D3,0.31372323609714037,34795
D,D4,0.3331530729100394,31436
D,D5,0.3435514734022197,26130
E,E1,0.37095807002167996,21679
E,E2,0.3852076168967818,19483
E,E3,0.39726687135031,16611
E,E4,0.41365119909181214,14094
E,E5,0.43094226836558125,12714
F,F1,0.4325994158616041,8902
F,F2,0.46848642846189237,6521
F,F3,0.4625606033399174,5569
F,F4,0.4903283850652272,4446
F,F5,0.5016703786191536,3592
G,G1,0.48776815957847197,2657
G,G2,0.5010131712259371,1974
G,G3,0.5242782152230971,1524
G,G4,0.5293132328308208,1194
G,G5,0.5457115928369463,1061
