column,univariate_woe_slope,univariate_direction,multivariate_coefficient,multivariate_direction,agree
loan_amnt,-0.061542364062368966,risk-raising,-0.14261986242036018,protective,False
funded_amnt,-0.061542480072828656,risk-raising,-0.1376134219442202,protective,False
int_rate,-0.25063153681048816,risk-raising,-0.016233451005712878,protective,False
installment,-0.05166856893444246,risk-raising,0.3643193611227562,risk-raising,True
annual_inc,0.06011544632379015,protective,-0.10199122868292741,protective,True
dti,-0.0930520246504768,risk-raising,0.11041609882729289,risk-raising,True
fico_range_low,0.11659798506527976,protective,-0.08098698282179523,protective,True
fico_range_high,0.11659798506527976,protective,-0.07964033303193471,protective,True
open_acc,-0.024133850480302154,risk-raising,0.12035746997840957,risk-raising,True
revol_bal,0.00967049133183583,protective,-0.041996758620270636,protective,True
revol_util,-0.049306848050438626,risk-raising,-0.01509100618541858,protective,False
total_acc,0.011416212043872212,protective,-0.07567844857383899,protective,True
delinq_2yrs,-0.15935587721717814,risk-raising,0.03159144992669719,risk-raising,True
pub_rec,-0.1775424951368563,risk-raising,0.015792022354610136,risk-raising,True
mort_acc,0.12332578980693627,protective,-0.09326508564108571,protective,True
tot_cur_bal,0.05741208416411505,protective,-0.007900827406052694,protective,True
avg_cur_bal,0.07234795268557022,protective,-0.06253718907520912,protective,True
