feature,uni_woe_slope,univariate_direction,multi_coef,multivariate_direction,agree
loan_amnt,-0.0607,risk-raising,0.1334,risk-raising,True
int_rate,-0.2517,risk-raising,0.1963,risk-raising,True
annual_inc,0.0595,protective,-0.0543,protective,True
dti,-0.093,risk-raising,0.1417,risk-raising,True
fico_range_low,0.1175,protective,-0.11,protective,True
delinq_2yrs,-0.0219,risk-raising,0.0499,risk-raising,True
inq_last_6mths,-0.0574,risk-raising,0.0353,risk-raising,True
open_acc,-0.0243,risk-raising,0.0018,risk-raising,True
pub_rec,-0.03,risk-raising,-0.0002,protective,False
revol_bal,0.0097,protective,-0.0447,protective,True
revol_util,-0.0494,risk-raising,0.0033,risk-raising,True
total_acc,0.0114,protective,-0.1167,protective,True
mort_acc,0.0643,protective,-0.0758,protective,True
pub_rec_bankruptcies,-0.0275,risk-raising,0.0061,risk-raising,True
tot_cur_bal,0.0574,protective,-0.0246,protective,True
avg_cur_bal,0.0723,protective,-0.0529,protective,True
bc_open_to_buy,0.0796,protective,-0.0711,protective,True
acc_open_past_24mths,-0.0907,risk-raising,0.1719,risk-raising,True
mo_sin_old_rev_tl_op,0.0502,protective,-0.0138,protective,True
num_actv_rev_tl,-0.0587,risk-raising,0.0935,risk-raising,True
