addr_state,bad_rate,n
MS,0.26409352978859707,6244
NE,0.2536997885835095,3311
AR,0.24830574380624376,9001
AL,0.2444774707829494,14803
OK,0.24323096492822097,11006
LA,0.2400895371506968,13849
NY,0.22692565996797023,96785
NV,0.22414178687241418,17886
FL,0.21936599696739956,84416
MD,0.2193321998335926,27643
NM,0.21924648206990469,6609
SD,0.2189397005261028,2471
NJ,0.2178736950517298,42722
MO,0.21770005299417064,18870
KY,0.2176022176022176,11544
TN,0.2174806141837416,19473
IN,0.2168442366099407,20743
PA,0.21556279942707562,40494
NC,0.21276280722534793,33770
OH,0.2125377222123602,39433
ND,0.21212121212121213,1485
VA,0.20757987865020772,33457
MI,0.20721655970806593,31788
ID,0.20655966503838102,1433
TX,0.2049773250682277,98567
HI,0.2049193950473658,6017
AK,0.20380818053596614,2836
MN,0.2037777984553829,21494
AZ,0.20176674801498642,29093
DE,0.20171293561724749,3386
CA,0.2013575450188451,171928
MA,0.1971626991495525,26927
IL,0.18683738907002354,46313
GA,0.18673964358901196,38551
WI,0.1854575163398693,15912
RI,0.18213389928612772,5183
CT,0.17884493579777738,17367
WY,0.17719096823574434,2613
UT,0.17628458498023716,8855
MT,0.1735173223722842,3406
KS,0.17177427352970345,10083
SC,0.16526412559224948,14141
WV,0.1634638196915777,4215
WA,0.1602156376047161,25784
CO,0.15840909090909092,26400
NH,0.14815456593311385,5771
ME,0.14606741573033707,1869
OR,0.14571213469303948,14611
DC,0.14184636118598382,2968
VT,0.14036580178647384,2351
