column,vif
fico_range_high,30968681.772150822
fico_range_low,30937914.864811968
funded_amnt,1946865.206090046
loan_amnt,1946748.6152848578
installment,43.80908046151267
open_acc,15.470382943282239
total_acc,13.01235290905065
tot_cur_bal,11.974513202395073
int_rate,11.07189271547896
avg_cur_bal,9.250437500973682
revol_util,8.959492110648132
dti,4.038477193220746
annual_inc,3.0213115884598762
mort_acc,2.7555941255765535
revol_bal,2.2841053719156297
pub_rec,1.253433898129903
delinq_2yrs,1.222757165346565
