feature,VIF
tot_cur_bal,6.424792239514503
avg_cur_bal,5.22160342902959
open_acc,4.180484466552704
total_acc,2.650842301077941
num_actv_rev_tl,2.223378784531937
fico_range_low,1.9939183779286545
revol_util,1.9554226341204175
bc_open_to_buy,1.824768390038213
pub_rec_bankruptcies,1.791230936360417
pub_rec,1.7248187914002777
acc_open_past_24mths,1.7056512005049818
mort_acc,1.6596042036646488
revol_bal,1.5879665230267785
int_rate,1.44174664505156
loan_amnt,1.3886430369717697
annual_inc,1.3242875079245473
mo_sin_old_rev_tl_op,1.275460640881387
dti,1.1767964307653755
inq_last_6mths,1.1469761763208401
delinq_2yrs,1.1257590921233667
