addr_state,n,pct
CA,171928,0.14376705335573248
TX,98567,0.08242221830134988
NY,96785,0.08093210099015034
FL,84416,0.0705890813368242
IL,46313,0.03872716219617536
NJ,42722,0.0357243500387581
PA,40494,0.033861285297258334
OH,39433,0.03297407179154413
GA,38551,0.03223653898095041
NC,33770,0.028238642872732107
VA,33457,0.027976910707521414
MI,31788,0.026581284561397935
AZ,29093,0.024327712084583807
MD,27643,0.023115214833607747
MA,26927,0.022516492053125777
CO,26400,0.022075812017771028
WA,25784,0.02156070973735637
MN,21494,0.01797339028446858
IN,20743,0.017345400328963048
TN,19473,0.016283419978108154
MO,18870,0.015779188362702246
NV,17886,0.014956362642039872
CT,17367,0.01452237224669051
WI,15912,0.013305693970711083
AL,14803,0.012378342624964565
OR,14611,0.012217791264835322
SC,14141,0.011824774914518945
LA,13849,0.011580603054322385
KY,11544,0.009653150527770786
OK,11006,0.009203272237408635
KS,10083,0.008431455021787321
AR,9001,0.007526681211058979
UT,8855,0.007404595280960699
NM,6609,0.005526478849448816
MS,6244,0.005221264024203118
HI,6017,0.005031445489050314
NH,5771,0.00482573905888472
RI,5183,0.0043340505184889105
WV,4215,0.0035246040778373062
MT,3406,0.002848114232292732
DE,3386,0.002831390132279269
NE,3311,0.002768674757228783
DC,2968,0.0024818564419978946
AK,2836,0.0023714773819090394
WY,2613,0.002185003666758928
SD,2471,0.0020662625566633414
VT,2351,0.0019659179565825638
ME,1869,0.001562867146258108
ND,1485,0.0012417644259996204
ID,1433,0.0011982817659646169
IA,2,1.67241000134629e-06
