column,classification,cast_rate_to_double,is_high_missingness,iv,treatment_decision
out_prncp,post_origination,1.0,False,,exclude -- post-origination leakage
out_prncp_inv,post_origination,1.0,False,,exclude -- post-origination leakage
total_pymnt,post_origination,1.0,False,,exclude -- post-origination leakage
total_pymnt_inv,post_origination,1.0,False,,exclude -- post-origination leakage
total_rec_prncp,post_origination,1.0,False,,exclude -- post-origination leakage
total_rec_int,post_origination,1.0,False,,exclude -- post-origination leakage
total_rec_late_fee,post_origination,1.0,False,,exclude -- post-origination leakage
recoveries,post_origination,1.0,False,,exclude -- post-origination leakage
collection_recovery_fee,post_origination,1.0,False,,exclude -- post-origination leakage
last_pymnt_d,post_origination,0.0,False,,exclude -- post-origination leakage
last_pymnt_amnt,post_origination,1.0,False,,exclude -- post-origination leakage
next_pymnt_d,post_origination,0.0,False,,exclude -- post-origination leakage
last_credit_pull_d,post_origination,0.0,False,,exclude -- post-origination leakage
last_fico_range_high,post_origination,1.0,False,,exclude -- post-origination leakage
last_fico_range_low,post_origination,1.0,False,,exclude -- post-origination leakage
hardship_flag,post_origination,0.0,False,,exclude -- post-origination leakage
hardship_type,post_origination,0.0,True,,exclude -- post-origination leakage
hardship_reason,post_origination,0.0,True,,exclude -- post-origination leakage
hardship_status,post_origination,0.0,True,,exclude -- post-origination leakage
deferral_term,post_origination,1.0,True,,exclude -- post-origination leakage
hardship_amount,post_origination,1.0,True,,exclude -- post-origination leakage
hardship_start_date,post_origination,0.0,True,,exclude -- post-origination leakage
hardship_end_date,post_origination,0.0,True,,exclude -- post-origination leakage
payment_plan_start_date,post_origination,0.0,True,,exclude -- post-origination leakage
hardship_length,post_origination,1.0,True,,exclude -- post-origination leakage
hardship_dpd,post_origination,1.0,True,,exclude -- post-origination leakage
hardship_loan_status,post_origination,0.0,True,,exclude -- post-origination leakage
orig_projected_additional_accrued_interest,post_origination,1.0,True,,exclude -- post-origination leakage
hardship_payoff_balance_amount,post_origination,1.0,True,,exclude -- post-origination leakage
hardship_last_payment_amount,post_origination,1.0,True,,exclude -- post-origination leakage
debt_settlement_flag,post_origination,0.0,False,,exclude -- post-origination leakage
debt_settlement_flag_date,post_origination,0.0,True,,exclude -- post-origination leakage
settlement_status,post_origination,0.0,True,,exclude -- post-origination leakage
