feature,type,IV,band
grade,categorical,0.4726,strong
int_rate,numeric,0.4627,strong
term,categorical,0.1809,medium
fico_range_low,numeric,0.1138,medium
dti,numeric,0.0747,weak
acc_open_past_24mths,numeric,0.0714,weak
bc_open_to_buy,numeric,0.0556,weak
verification_status,categorical,0.0548,weak
avg_cur_bal,numeric,0.0508,weak
mort_acc,numeric,0.0435,weak
tot_cur_bal,numeric,0.0399,weak
home_ownership,categorical,0.0327,weak
num_actv_rev_tl,numeric,0.0326,weak
annual_inc,numeric,0.0296,weak
inq_last_6mths,numeric,0.0291,weak
mo_sin_old_rev_tl_op,numeric,0.0241,weak
revol_util,numeric,0.0216,weak
purpose,categorical,0.0181,not useful
delinq_2yrs,numeric,0.0095,not useful
pub_rec,numeric,0.0088,not useful
open_acc,numeric,0.0051,not useful
revol_bal,numeric,0.0042,not useful
total_acc,numeric,0.0015,not useful
