column,inferred_type,domain_type,action,treatment_detail,basis,rationale,status,last_updated_by
acc_now_delinq,numeric,numeric,clean,cast text -> DOUBLE,eda01 Cell 2 (numeric cast-rate test),loaded as text on purpose; the cast-rate test decides the real type,proposed,eda01
acc_open_past_24mths,numeric,numeric,clean,cast text -> DOUBLE,eda01 Cell 2 (numeric cast-rate test),loaded as text on purpose; the cast-rate test decides the real type,proposed,eda01
addr_state,categorical/text,categorical,keep,keep as text / category,eda01 Cell 2 (numeric cast-rate test),loaded as text on purpose; the cast-rate test decides the real type,proposed,eda01
all_util,numeric,numeric,clean,cast text -> DOUBLE,eda01 Cell 2 (numeric cast-rate test),loaded as text on purpose; the cast-rate test decides the real type,proposed,eda01
annual_inc,numeric,numeric,clean,cast text -> DOUBLE,eda01 Cell 2 (numeric cast-rate test),loaded as text on purpose; the cast-rate test decides the real type,proposed,eda01
annual_inc_joint,numeric,numeric,clean,cast text -> DOUBLE,eda01 Cell 2 (numeric cast-rate test),loaded as text on purpose; the cast-rate test decides the real type,proposed,eda01
application_type,categorical/text,categorical,keep,keep as text / category,eda01 Cell 2 (numeric cast-rate test),loaded as text on purpose; the cast-rate test decides the real type,proposed,eda01
avg_cur_bal,numeric,numeric,clean,cast text -> DOUBLE,eda01 Cell 2 (numeric cast-rate test),loaded as text on purpose; the cast-rate test decides the real type,proposed,eda01
bc_open_to_buy,numeric,numeric,clean,cast text -> DOUBLE,eda01 Cell 2 (numeric cast-rate test),loaded as text on purpose; the cast-rate test decides the real type,proposed,eda01
bc_util,numeric,numeric,clean,cast text -> DOUBLE,eda01 Cell 2 (numeric cast-rate test),loaded as text on purpose; the cast-rate test decides the real type,proposed,eda01
chargeoff_within_12_mths,numeric,numeric,clean,cast text -> DOUBLE,eda01 Cell 2 (numeric cast-rate test),loaded as text on purpose; the cast-rate test decides the real type,proposed,eda01
collection_recovery_fee,numeric,numeric,clean,cast text -> DOUBLE,eda01 Cell 2 (numeric cast-rate test),loaded as text on purpose; the cast-rate test decides the real type,proposed,eda01
collections_12_mths_ex_med,numeric,numeric,clean,cast text -> DOUBLE,eda01 Cell 2 (numeric cast-rate test),loaded as text on purpose; the cast-rate test decides the real type,proposed,eda01
debt_settlement_flag,categorical/text,categorical,exclude_from_pd_features,keep the column; not a PD input; 'is it filled in?' can help LGD / collections work,eda01 Cell 7 (bad rate by whether the field is filled),only populated after a loan starts failing -- not known at application time,proposed,eda01
debt_settlement_flag_date,categorical/text,categorical,keep,keep as text / category,eda01 Cell 2 (numeric cast-rate test),loaded as text on purpose; the cast-rate test decides the real type,proposed,eda01
deferral_term,numeric,numeric,clean,cast text -> DOUBLE,eda01 Cell 2 (numeric cast-rate test),loaded as text on purpose; the cast-rate test decides the real type,proposed,eda01
