variable,coefficient
loan_amnt_woe,-0.6674135575680088
acc_open_past_24mths_woe,-0.6000410185920149
annual_inc_woe,-0.5972604973994344
term_woe,-0.5905645771023667
grade_woe,-0.5864081663679233
home_ownership_woe,-0.4862986350432418
mort_acc_woe,-0.44628498708787717
dti_woe,-0.4240325960221336
tot_cur_bal_woe,-0.36106995319674345
num_actv_rev_tl_woe,-0.35335888061472204
fico_range_low_woe,-0.31002371967478315
mo_sin_old_rev_tl_op_woe,-0.3066872611107381
bc_open_to_buy_woe,-0.24961791747017162
verification_status_woe,-0.23973592745418426
inq_last_6mths_woe,-0.22520722278259106
