variable,type,n_bins,iv,monotonic,classification
grade,categorical,7,0.4811,,Strong
int_rate,numeric,20,0.4754,False,Strong
term,categorical,2,0.2009,,Medium
fico_range_low,numeric,13,0.1183,True,Medium
acc_open_past_24mths,numeric,9,0.0806,True,Weak
dti,numeric,20,0.078,True,Weak
bc_open_to_buy,numeric,20,0.057,False,Weak
verification_status,categorical,3,0.0545,,Weak
tot_cur_bal,numeric,20,0.0415,False,Weak
mort_acc,numeric,6,0.0372,True,Weak
loan_amnt,numeric,20,0.0346,False,Weak
annual_inc,numeric,20,0.0324,False,Weak
home_ownership,categorical,4,0.0302,,Weak
num_actv_rev_tl,numeric,9,0.0302,True,Weak
inq_last_6mths,numeric,3,0.026,True,Weak
mo_sin_old_rev_tl_op,numeric,20,0.024,False,Weak
purpose,categorical,14,0.0186,,Useless
revol_util,numeric,20,0.0182,False,Useless
addr_state_grouped,categorical,51,0.0156,,Useless
open_acc,numeric,13,0.0069,True,Useless
pub_rec,numeric,2,0.0055,True,Useless
revol_bal,numeric,20,0.0055,False,Useless
delinq_2yrs,numeric,3,0.0016,True,Useless
total_acc,numeric,18,0.0008,False,Useless
emp_length,categorical,11,0.0003,,Useless
pub_rec_bankruptcies,numeric,1,0.0,True,Useless
