variable,type,n_bins,iv,monotonic,classification
grade,categorical,7,0.4811,,Strong
int_rate,numeric,18,0.4754,True,Strong
term,categorical,2,0.2009,,Medium
fico_range_low,numeric,13,0.1183,True,Medium
acc_open_past_24mths,numeric,9,0.0806,True,Weak
dti,numeric,20,0.078,True,Weak
bc_open_to_buy,numeric,16,0.057,True,Weak
verification_status,categorical,3,0.0545,,Weak
mort_acc,numeric,6,0.0372,True,Weak
tot_cur_bal,numeric,3,0.0336,True,Weak
annual_inc,numeric,12,0.0323,True,Weak
num_actv_rev_tl,numeric,9,0.0302,True,Weak
home_ownership,categorical,4,0.0302,,Weak
loan_amnt,numeric,4,0.0301,True,Weak
inq_last_6mths,numeric,3,0.026,True,Weak
mo_sin_old_rev_tl_op,numeric,12,0.024,True,Weak
purpose,categorical,14,0.0186,,Useless
revol_util,numeric,10,0.018,True,Useless
addr_state_grouped,categorical,51,0.0156,,Useless
open_acc,numeric,13,0.0069,True,Useless
pub_rec,numeric,2,0.0055,True,Useless
revol_bal,numeric,5,0.0053,True,Useless
delinq_2yrs,numeric,3,0.0016,True,Useless
total_acc,numeric,2,0.0004,True,Useless
emp_length,categorical,11,0.0003,,Useless
pub_rec_bankruptcies,numeric,1,0.0,True,Useless
