variable,bin,woe,points
int_rate,"(-inf, 6.49]",1.8482,84.0
int_rate,"(6.49, 7.49]",1.3263,62.2
int_rate,"(7.49, 8.18]",1.0783,51.8
int_rate,"(8.18, 8.9]",0.8778,43.4
int_rate,"(8.9, 9.67]",0.6796,35.1
int_rate,"(9.67, 10.49]",0.5548,29.9
int_rate,"(10.49, 10.99]",0.4098,23.8
int_rate,"(10.99, 12.29]",0.2449,16.9
int_rate,"(12.29, 12.74]",0.109,11.2
int_rate,"(12.74, 13.33]",0.0222,7.6
int_rate,"(13.33, 13.98]",-0.0691,3.8
int_rate,"(13.98, 15.1]",-0.2041,-1.9
int_rate,"(15.1, 15.8]",-0.272,-4.7
int_rate,"(15.8, 16.99]",-0.4679,-12.9
int_rate,"(16.99, 17.99]",-0.5906,-18.1
int_rate,"(17.99, 19.19]",-0.7421,-24.4
int_rate,"(19.19, 21.67]",-0.8106,-27.3
int_rate,"(21.67, inf]",-1.1619,-42.0
fico_range_low,"(-inf, 6.501]",-0.3651,-1.8
fico_range_low,"(6.501, 6.509]",-0.2744,0.3
fico_range_low,"(6.516, 6.524]",-0.1913,2.2
fico_range_low,"(6.524, 6.531]",-0.0694,5.1
fico_range_low,"(6.538, 6.545]",-0.0327,5.9
fico_range_low,"(6.545, 6.553]",0.0516,7.8
fico_range_low,"(6.553, 6.56]",0.1699,10.6
fico_range_low,"(6.56, 6.567]",0.2654,12.8
fico_range_low,"(6.567, 6.574]",0.3324,14.3
fico_range_low,"(6.574, 6.588]",0.4368,16.8
fico_range_low,"(6.588, 6.601]",0.5216,18.7
fico_range_low,"(6.601, 6.628]",0.6559,21.8
fico_range_low,"(6.628, inf]",1.0457,30.8
acc_open_past_24mths,"(-inf, 0.693]",0.5106,29.6
acc_open_past_24mths,"(0.693, 1.099]",0.3583,22.8
acc_open_past_24mths,"(1.386, 1.609]",0.1557,13.7
acc_open_past_24mths,"(1.609, 1.792]",-0.0015,6.6
acc_open_past_24mths,"(1.792, 1.946]",-0.1451,0.1
acc_open_past_24mths,"(2.079, 2.197]",-0.2335,-3.8
acc_open_past_24mths,"(2.197, 2.303]",-0.3447,-8.8
acc_open_past_24mths,"(2.303, 2.398]",-0.4699,-14.5
acc_open_past_24mths,"(2.398, inf]",-0.5821,-19.5
dti,"(-inf, 1.847]",0.4189,20.1
dti,"(1.847, 2.152]",0.3903,19.2
dti,"(2.152, 2.334]",0.3614,18.2
dti,"(2.334, 2.466]",0.3119,16.7
dti,"(2.466, 2.572]",0.2744,15.4
dti,"(2.572, 2.66]",0.2459,14.5
dti,"(2.66, 2.738]",0.1989,13.0
dti,"(2.738, 2.809]",0.139,11.1
dti,"(2.809, 2.876]",0.1103,10.2
dti,"(2.876, 2.939]",0.081,9.3
dti,"(2.939, 2.999]",0.0312,7.7
dti,"(2.999, 3.057]",-0.0181,6.1
dti,"(3.057, 3.115]",-0.0479,5.1
dti,"(3.115, 3.174]",-0.1074,3.2
dti,"(3.174, 3.234]",-0.1359,2.3
dti,"(3.234, 3.296]",-0.2045,0.1
dti,"(3.296, 3.362]",-0.2749,-2.2
dti,"(3.362, 3.433]",-0.3073,-3.2
dti,"(3.433, 3.529]",-0.4398,-7.4
dti,"(3.529, inf]",-0.5723,-11.7
bc_open_to_buy,"(-inf, 4.812]",-0.3338,0.9
bc_open_to_buy,"(4.812, 6.422]",-0.2051,3.1
bc_open_to_buy,"(6.422, 6.872]",-0.1871,3.4
bc_open_to_buy,"(6.872, 7.763]",-0.1454,4.1
bc_open_to_buy,"(7.763, 7.99]",-0.1169,4.6
bc_open_to_buy,"(7.99, 8.393]",-0.0933,5.0
bc_open_to_buy,"(8.393, 8.546]",-0.06,5.6
bc_open_to_buy,"(8.546, 8.736]",-0.0081,6.5
bc_open_to_buy,"(8.736, 8.93]",0.015,6.9
bc_open_to_buy,"(8.93, 9.129]",0.0497,7.5
bc_open_to_buy,"(9.129, 9.334]",0.1433,9.1
bc_open_to_buy,"(9.334, 9.557]",0.1573,9.4
bc_open_to_buy,"(9.557, 9.805]",0.2372,10.8
bc_open_to_buy,"(9.805, 10.101]",0.3435,12.6
bc_open_to_buy,"(10.101, 10.503]",0.4346,14.2
bc_open_to_buy,"(10.503, inf]",0.7287,19.3
mort_acc,"(-inf, 0.693]",-0.1948,0.3
mort_acc,"(0.693, 1.099]",0.0356,7.8
mort_acc,"(1.386, 1.609]",0.2038,13.3
mort_acc,"(1.609, 1.792]",0.2741,15.6
mort_acc,"(1.792, 1.946]",0.3759,19.0
mort_acc,"(1.946, inf]",0.4423,21.1
tot_cur_bal,"(-inf, 11.531]",-0.145,2.8
