variable,vif
tot_cur_bal_woe,2.00623096131963
mort_acc_woe,1.9701851784217657
int_rate_woe,1.937360469572987
home_ownership_woe,1.7708529572275264
fico_range_low_woe,1.7187382241801978
annual_inc_woe,1.6904095758632294
bc_open_to_buy_woe,1.6790353148619004
loan_amnt_woe,1.521927422738559
term_woe,1.5116020077477412
num_actv_rev_tl_woe,1.3314756174035136
acc_open_past_24mths_woe,1.292506477592722
mo_sin_old_rev_tl_op_woe,1.2592819711844478
dti_woe,1.2421739614800653
inq_last_6mths_woe,1.1341983000418354
verification_status_woe,1.1030249011653168
