variable,bin,woe,points
fico_range_low,"(-inf, 6.501]",-0.3651,-1.5
fico_range_low,"(6.501, 6.509]",-0.2744,0.5
fico_range_low,"(6.516, 6.524]",-0.1913,2.4
fico_range_low,"(6.524, 6.531]",-0.0694,5.1
fico_range_low,"(6.538, 6.545]",-0.0327,5.9
fico_range_low,"(6.545, 6.553]",0.0516,7.8
fico_range_low,"(6.553, 6.56]",0.1699,10.5
fico_range_low,"(6.56, 6.567]",0.2654,12.6
fico_range_low,"(6.567, 6.574]",0.3324,14.1
fico_range_low,"(6.574, 6.588]",0.4368,16.4
fico_range_low,"(6.588, 6.601]",0.5216,18.3
fico_range_low,"(6.601, 6.628]",0.6559,21.3
fico_range_low,"(6.628, inf]",1.0457,30.0
acc_open_past_24mths,"(-inf, 0.693]",0.5106,28.8
acc_open_past_24mths,"(0.693, 1.099]",0.3583,22.2
acc_open_past_24mths,"(1.386, 1.609]",0.1557,13.4
acc_open_past_24mths,"(1.609, 1.792]",-0.0015,6.6
acc_open_past_24mths,"(1.792, 1.946]",-0.1451,0.4
acc_open_past_24mths,"(2.079, 2.197]",-0.2335,-3.5
acc_open_past_24mths,"(2.197, 2.303]",-0.3447,-8.3
acc_open_past_24mths,"(2.303, 2.398]",-0.4699,-13.7
acc_open_past_24mths,"(2.398, inf]",-0.5821,-18.5
dti,"(-inf, 1.847]",0.4189,19.5
dti,"(1.847, 2.152]",0.3903,18.6
dti,"(2.152, 2.334]",0.3614,17.7
dti,"(2.334, 2.466]",0.3119,16.2
dti,"(2.466, 2.572]",0.2744,15.0
dti,"(2.572, 2.66]",0.2459,14.2
dti,"(2.66, 2.738]",0.1989,12.7
dti,"(2.738, 2.809]",0.139,10.9
dti,"(2.809, 2.876]",0.1103,10.0
dti,"(2.876, 2.939]",0.081,9.1
dti,"(2.939, 2.999]",0.0312,7.6
dti,"(2.999, 3.057]",-0.0181,6.1
dti,"(3.057, 3.115]",-0.0479,5.2
dti,"(3.115, 3.174]",-0.1074,3.4
dti,"(3.174, 3.234]",-0.1359,2.5
dti,"(3.234, 3.296]",-0.2045,0.4
dti,"(3.296, 3.362]",-0.2749,-1.8
dti,"(3.362, 3.433]",-0.3073,-2.7
dti,"(3.433, 3.529]",-0.4398,-6.8
dti,"(3.529, inf]",-0.5723,-10.9
bc_open_to_buy,"(-inf, 4.812]",-0.3338,0.6
bc_open_to_buy,"(4.812, 6.422]",-0.2051,3.0
bc_open_to_buy,"(6.422, 6.872]",-0.1871,3.3
bc_open_to_buy,"(6.872, 7.763]",-0.1454,4.0
bc_open_to_buy,"(7.763, 7.99]",-0.1169,4.5
bc_open_to_buy,"(7.99, 8.393]",-0.0933,5.0
bc_open_to_buy,"(8.393, 8.546]",-0.06,5.6
bc_open_to_buy,"(8.546, 8.736]",-0.0081,6.5
bc_open_to_buy,"(8.736, 8.93]",0.015,6.9
bc_open_to_buy,"(8.93, 9.129]",0.0497,7.5
bc_open_to_buy,"(9.129, 9.334]",0.1433,9.2
bc_open_to_buy,"(9.334, 9.557]",0.1573,9.5
bc_open_to_buy,"(9.557, 9.805]",0.2372,10.9
bc_open_to_buy,"(9.805, 10.101]",0.3435,12.8
bc_open_to_buy,"(10.101, 10.503]",0.4346,14.5
bc_open_to_buy,"(10.503, inf]",0.7287,19.8
mort_acc,"(-inf, 0.693]",-0.1948,0.4
mort_acc,"(0.693, 1.099]",0.0356,7.8
mort_acc,"(1.386, 1.609]",0.2038,13.2
mort_acc,"(1.609, 1.792]",0.2741,15.5
mort_acc,"(1.792, 1.946]",0.3759,18.8
mort_acc,"(1.946, inf]",0.4423,20.9
tot_cur_bal,"(-inf, 11.531]",-0.145,2.9
tot_cur_bal,"(11.531, 12.968]",0.1598,10.8
tot_cur_bal,"(12.968, inf]",0.5284,20.4
annual_inc,"(-inf, 10.24]",-0.2554,-4.4
annual_inc,"(10.24, 10.571]",-0.2075,-2.3
annual_inc,"(10.571, 10.736]",-0.1545,-0.0
annual_inc,"(10.736, 10.82]",-0.1125,1.8
annual_inc,"(10.82, 11.082]",-0.0789,3.3
annual_inc,"(11.082, 11.156]",-0.0344,5.2
annual_inc,"(11.156, 11.29]",0.0355,8.2
annual_inc,"(11.29, 11.408]",0.1202,11.8
annual_inc,"(11.408, 11.513]",0.1709,14.0
annual_inc,"(11.513, 11.736]",0.247,17.3
annual_inc,"(11.736, 11.951]",0.3159,20.3
annual_inc,"(11.951, inf]",0.4043,24.1
num_actv_rev_tl,"(-inf, 1.099]",0.2449,12.9
num_actv_rev_tl,"(1.386, 1.609]",0.1825,11.3
num_actv_rev_tl,"(1.609, 1.792]",0.0659,8.3
num_actv_rev_tl,"(1.792, 1.946]",-0.0262,6.0
num_actv_rev_tl,"(2.079, 2.197]",-0.0679,4.9
num_actv_rev_tl,"(2.197, 2.303]",-0.1603,2.6
num_actv_rev_tl,"(2.303, 2.398]",-0.2526,0.2
num_actv_rev_tl,"(2.398, 2.565]",-0.2931,-0.8
num_actv_rev_tl,"(2.565, inf]",-0.4227,-4.1
loan_amnt,"(-inf, 8.161]",0.3674,24.3
loan_amnt,"(8.161, 9.23]",0.1921,15.9
loan_amnt,"(9.23, 9.616]",-0.0582,3.8
loan_amnt,"(9.616, inf]",-0.1657,-1.3
inq_last_6mths,"(-inf, 0.693]",0.1353,8.8
inq_last_6mths,"(0.693, 1.099]",-0.1317,4.5
inq_last_6mths,"(1.386, inf]",-0.3924,0.3
mo_sin_old_rev_tl_op,"(-inf, 4.025]",-0.4042,-2.3
mo_sin_old_rev_tl_op,"(4.025, 4.394]",-0.2244,1.7
mo_sin_old_rev_tl_op,"(4.394, 4.852]",-0.1146,4.1
mo_sin_old_rev_tl_op,"(4.852, 4.92]",-0.0796,4.9
mo_sin_old_rev_tl_op,"(4.92, 4.99]",-0.037,5.8
mo_sin_old_rev_tl_op,"(4.99, 5.056]",0.0137,7.0
mo_sin_old_rev_tl_op,"(5.056, 5.118]",0.035,7.4
mo_sin_old_rev_tl_op,"(5.118, 5.236]",0.0603,8.0
mo_sin_old_rev_tl_op,"(5.236, 5.375]",0.0855,8.5
mo_sin_old_rev_tl_op,"(5.375, 5.529]",0.1147,9.2
mo_sin_old_rev_tl_op,"(5.529, 5.628]",0.1705,10.4
mo_sin_old_rev_tl_op,"(5.628, inf]",0.1972,11.0
term, 36 months,0.2927,19.1
term, 60 months,-0.6979,-23.1
verification_status,Not Verified,0.3864,13.3
verification_status,Source Verified,-0.0626,5.6
verification_status,Verified,-0.213,3.0
home_ownership,ANY,-0.3476,-5.5
home_ownership,MORTGAGE,0.1785,12.9
home_ownership,OWN,-0.0457,5.0
home_ownership,RENT,-0.1889,0.0
grade,A,1.3868,65.3
grade,B,0.5068,28.1
grade,C,-0.1305,1.1
grade,D,-0.5635,-17.2
grade,E,-0.9485,-33.5
grade,F,-1.2294,-45.4
grade,G,-1.4164,-53.3
