feature,bin,woe,points
grade,D,-0.16004634407129312,0.5
grade,G,-0.7364992022338903,-12.6
grade,A,1.4182149688225691,36.3
grade,E,-0.41407898492011996,-5.3
grade,B,0.7924447280845434,22.1
grade,F,-0.6306802120313262,-10.2
grade,C,0.26622130455691184,10.2
home_ownership,RENT,-0.3535238734471672,-9.4
home_ownership,MORTGAGE,0.219793738699423,12.5
home_ownership,OWN,-0.06218884190664632,1.7
home_ownership,ANY,0.5700301904171376,26.0
fico_range_low,<= 6.51,-0.3291898540092961,-9.3
fico_range_low,"(6.51, 6.52]",-0.18643933154617431,-3.5
fico_range_low,"(6.52, 6.55]",-0.019288599744041287,3.3
fico_range_low,"(6.55, 6.57]",0.197174597348262,12.2
fico_range_low,> 6.57,0.5804435450742469,27.8
dti,<= 2.57,0.3344782143754355,14.8
dti,"(2.57, 2.89]",0.1705944132966694,9.5
dti,"(2.89, 3.11]",0.05063178453598935,5.7
dti,"(3.11, 3.33]",-0.10025415874114345,0.9
dti,> 3.33,-0.4062428410373539,-8.8
lti_log,<= -1.68,0.36138203374115657,13.4
lti_log,"(-1.68, -1.40]",0.13607149456900433,7.6
lti_log,"(-1.40, -1.19]",-0.0010923948325375352,4.1
lti_log,"(-1.19, -0.98]",-0.18038033908049475,-0.5
lti_log,> -0.98,-0.27331692301651744,-2.9
acc_open_past_24mths,<= 1.10,0.3227598166740395,16.3
acc_open_past_24mths,"(1.10, 1.61]",0.09402324099757935,7.7
acc_open_past_24mths,"(1.61, 1.79]",-0.02698723353823166,3.1
acc_open_past_24mths,"(1.79, 2.08]",-0.13504209990824775,-1.0
acc_open_past_24mths,> 2.08,-0.3513078707842615,-9.1
bc_open_to_buy,<= 6.92,-0.24253727448398393,-5.6
bc_open_to_buy,"(6.92, 8.05]",-0.13375293465096436,-1.2
bc_open_to_buy,"(8.05, 8.78]",-0.06792240507546396,1.4
bc_open_to_buy,"(8.78, 9.57]",0.0954621789072085,7.9
bc_open_to_buy,> 9.57,0.3905042174460439,19.7
mort_acc,<= 0.69,-0.26138346219220043,-9.8
mort_acc,"(0.69, 1.10]",0.11089607066840383,10.0
mort_acc,"(1.10, 1.61]",0.2803589472354196,19.0
mort_acc,> 1.61,0.4531287847873014,28.2
tot_cur_bal,<= 10.51,-0.2891252953397985,-3.2
tot_cur_bal,"(10.51, 11.32]",-0.29638294012727867,-3.4
tot_cur_bal,"(11.32, 12.06]",-0.015780080293338283,3.7
tot_cur_bal,"(12.06, 12.53]",0.2153076903150804,9.6
tot_cur_bal,> 12.53,0.4580324724760921,15.7
inq_intensity,<= 0.18,0.0842682722507387,6.3
inq_intensity,"(0.18, 0.23]",-0.07112208494505698,2.2
inq_intensity,> 0.23,-0.18562290116287108,-0.8
mo_sin_old_rev_tl_op,<= 4.77,-0.29990175173935246,-3.2
mo_sin_old_rev_tl_op,"(4.77, 5.04]",-0.06714770234397137,2.5
mo_sin_old_rev_tl_op,"(5.04, 5.26]",0.07271480659491943,5.9
mo_sin_old_rev_tl_op,"(5.26, 5.53]",0.12168059837372484,7.1
mo_sin_old_rev_tl_op,> 5.53,0.19938622419849283,9.0
num_actv_rev_tl,<= 1.39,0.18481622926465804,8.9
num_actv_rev_tl,"(1.39, 1.79]",0.06578219104306425,5.8
num_actv_rev_tl,"(1.79, 1.95]",0.0010379076139004771,4.1
num_actv_rev_tl,"(1.95, 2.20]",-0.04508977306731491,2.9
num_actv_rev_tl,> 2.20,-0.26188069854119383,-2.7
