variable,vif
tot_cur_bal_woe,2.006206620855215
mort_acc_woe,1.9706013938248588
grade_woe,1.8851019155041486
home_ownership_woe,1.7710037105828011
fico_range_low_woe,1.7100721087470347
annual_inc_woe,1.686436084646586
bc_open_to_buy_woe,1.6640795365147298
term_woe,1.5268089391588358
loan_amnt_woe,1.521226409697383
num_actv_rev_tl_woe,1.33201243187504
acc_open_past_24mths_woe,1.297279896206205
mo_sin_old_rev_tl_op_woe,1.2590088535874904
dti_woe,1.2453345898626358
inq_last_6mths_woe,1.1266894631397262
verification_status_woe,1.0935620241958455
